capscan.py: fekerr 20180909-20180911
Simple python script to scan YouTube .SBV captions files.
Usage: capscan <caption.sbv> [werdz.txt]

Arguments on command line: 3 :
./capscan.py
254_captions.sbv
werdz254.txt
Attempting very simple open of sys.argv[1]= 254_captions.sbv
<open file '254_captions.sbv', mode 'r' at 0x7f68a15c55d0>
01792.360, 1799.5300 and on the server iteration you start
01796.280, 1804.6600 handling three types of aspect ratios
01799.530, 1809.4600 and it all gets complicated so one if I
01804.660, 1812.2500 could make a choice across an entire set
01809.460, 1814.3800 of products I'd say stick to the same
01812.250, 1817.8900 resolution or at least stick to the same
01814.380, 1819.9900 aspect ratio that's a hard problem even
01817.890, 1822.0900 when you're not doing you know a small
01819.990, 1825.2700 embedded system that's even if you're
01822.090, 1826.8000 doing something with Linux or Apple's
01825.270, 1827.9100 had this problem right oh we came out
01826.800, 1829.8300 with a new phone and now all the
01827.910, 1831.7200 developers have to go and regenerate
01829.830, 1833.1300 everything and there's no good way to
01831.720, 1834.6900 make this automatable because things
01833.130, 1836.2800 don't look good when they're scaled or
01834.690, 1839.3400 when they're automatically laid out so
01836.280, 1841.1400 yeah it's a big problem every time when
01839.340, 1842.9100 you look at movies I mean you have
01841.140, 1844.5000 different scaling on whether whether
01842.910, 1846.9000 you're watching it on TV with the black
01844.500, 1848.4300 bars or whether you're in the movie
01846.900, 1850.0500 theater or whether you're watching an
01848.430, 1853.0700 old movie or a new movie the aspect
01850.050, 1856.5200 ratio and resolution that's just a
01853.070, 1861.2700 never-ending problem yep
01856.520, 1866.8500 and trying to decouple it in your code
01861.270, 1869.4300 is a great idea but as Chris said you it
01866.850, 1872.8800 looks different so you can't just say oh
01869.430, 1876.5400 we're gonna pound F that out it's not it
01872.880, 1878.4600 doesn't work like that yeah so there's a
01876.540, 1882.3000 few techniques that came mostly from
01878.460, 1885.0900 their web development work because web
01882.300, 1887.6700 the web pages are subject to a bunch of
01885.090, 1889.8000 resolutions and they need to look from
01887.670, 1892.5600 this basically what's the same set of
01889.800, 1893.0400 assets and code they need to look the
01892.560, 1895.4100 same
01893.040, 1897.9000 roughly the same so there are techniques
01895.410, 1900.6000 to minimize that but they cost in terms
01897.900, 1902.8800 of treatment development and CPU
01900.600, 1905.9700 processing power so they're not always
01902.880, 1908.0700 feasible on about systems well it's gone
01905.970, 1910.2000 and talked about mqtt because there were
01908.070, 1913.1300 some questions about that and I heard
01910.200, 1916.8300 you have been doing some home automation
01913.130, 1918.9300 yes though I must warn you that mqtt is
01916.830, 1921.5100 so great that I'm willfully ignorant of
01918.930, 1925.7100 all its internal implementation details
01921.510, 1929.8700 I enjoy it as an end user mostly what is
01925.710, 1933.6000 it it's a communications protocol
01929.870, 1939.2300 typically associated to IOT devices
01933.600, 1945.8100 it runs on tcp/ip and it follows
01939.230, 1947.7900 publication subscription principles ok
01945.810, 1950.3100 so you've already said tcp/ip and I'm
01947.790, 1952.3800 like oh I'll just take out all my micros
01950.310, 1954.4500 because that's that's heavy weight to
01952.380, 1955.8900 start with and then this is on top of it
01954.450, 1959.1000 it's the Internet of Things if you don't
01955.890, 1962.0100 have PCP IP you're just a thing I'm okay
01959.100, 1963.7800 with that that's a there's a there's a
01962.010, 1966.3200 variant that I'm not really familiar
01963.780, 1970.8900 with that doesn't run on top of tcp/ip
01966.320, 1974.7600 but I mean we're talking something that
01970.890, 1980.4000 can do at least Wi-Fi or Ethernet and
01974.760, 1982.9200 cover tcp/ip stack okay so it's it's on
01980.400, 1985.8300 top of tcp/ip
01982.920, 1989.8100 so guarantee transmissions as long as
01985.830, 1994.5200 you have the path between them and
01989.810, 1998.4900 publish/subscribe so your widget your
01994.520, 2000.7700 IOT thing probably publishes the data
01998.490, 2003.5900 and then some server like things
02000.770, 2008.3300 subscribes how does how does it work
02003.590, 2010.7900 so there's you need to have one broker I
02008.330, 2013.2500 use mosquito there's a bunch of them
02010.790, 2017.2400 which is like the half the central point
02013.250, 2019.4900 of the MQTT network and everything else
02017.240, 2023.6500 is a client and each client can
02019.490, 2026.4800 subscribe or publish information the
02023.650, 2028.9900 processes you
02026.480, 2031.8800 something with a topic and a payload and
02028.990, 2034.0400 the other clients can subscribe to a
02031.880, 2037.1200 topic and when you publish to that topic
02034.040, 2041.8400 take at the payload that you transmit it
02037.120, 2045.4700 it's here to stores IOT devices so the
02041.840, 2049.1000 whole my device went offline expecting
02045.470, 2050.8690 you have messages for availability so
02049.100, 2053.0900 whenever you come online you say I'm
02050.869, 2055.3990 available and whenever the broker sees
02053.090, 2058.1590 that you've gone offline because you
02055.399, 2063.1690 don't respond it's automatically a
02058.159, 2065.7800 message saying this device is offline it
02063.169, 2068.6000 also retains miss the broker can retain
02065.780, 2071.8400 messages so for example if you want to
02068.600, 2075.5000 talk to a thermostat and have a
02071.840, 2078.9800 temperature setting you publish I don't
02075.500, 2079.8790 know ABF I want to set into the ADF and
02078.980, 2082.1900 retain that
02079.879, 2084.6190 so whenever the thermostat comes back
02082.190, 2088.0700 online the broker communicates that
02084.619, 2091.6390 information automatically and the other
02088.070, 2095.4800 piece of technology that it has is a QoS
02091.639, 2097.7000 setting a quality of service which says
02095.480, 2099.6800 if you want the message to be
02097.700, 2101.6000 transferred once or if you really want
02099.680, 2106.6700 to make sure that the message is
02101.600, 2109.4600 received by our clients okay so mosquito
02106.670, 2112.0700 is the broker and it is sort of the hub
02109.460, 2113.7500 yes what do you run that on do you have
02112.070, 2115.4000 like a home server or are you running
02113.750, 2119.8590 that annika Raspberry Pi sort of thing
02115.400, 2123.5500 so at home I have a has a ou
02119.859, 2126.6400 distribution which is a home assistant
02123.550, 2132.9200 Bistro that runs with the Raspberry Pi
02126.640, 2135.1400 it's center around containers and on one
02132.920, 2137.4500 of the containers you run mosquito and
02135.140, 2139.1600 everything talks to that and home
02137.450, 2140.3900 assistant talks to that as well so
02139.160, 2144.1090 everything connects through the
02140.390, 2148.4500 Raspberry Pi what do you have for the
02144.109, 2154.0400 devices Oh devices it's mostly
02148.450, 2157.2200 esp8266 no that's you for the doors and
02154.040, 2158.3600 lights that kind of thing did you say
02157.220, 2160.8800 node
02158.360, 2171.4700 nah yeah it's called now them Co so I
02160.880, 2173.9300 click like Inc like it now you know it's
02171.470, 2175.9700 called no then see you and it out of the
02173.930, 2180.6500 box it grants Louis oh nothing make
02175.970, 2182.1500 sense okay what are you building with
02180.650, 2183.5300 this we knew and when I first heard of
02182.150, 2186.4900 this you were gonna do like one little
02183.530, 2190.8100 thing yeah I had a greenhouse
02186.490, 2198.4100 temperature control now I have two doors
02190.810, 2201.2600 lights the home alarm and the heating
02198.410, 2202.8500 system of the house connected there it's
02201.260, 2204.7400 pretty neat because you program
02202.850, 2207.2600 everything in micro Python or if you
02204.740, 2211.0700 doing something a bit more intensive you
02207.260, 2214.2800 use platform i/o we know framework and
02211.070, 2218.0600 it's just plug and play mostly it's very
02214.280, 2220.4300 satisfying way of working I don't even
02218.060, 2220.8800 know how you install the tool change for
02220.430, 2222.9800 this
02220.880, 2225.2000 everything is click click click click
02222.980, 2228.5300 here and everything works perfectly
02225.200, 2231.1100 it's amazing what about power I mean if
02228.530, 2234.1400 you're alarming if you're alarming doors
02231.110, 2236.9000 if you have door alarms don't those just
02234.140, 2241.2500 run on batteries and the esps are ok but
02236.900, 2244.5800 they're not like long-term batteries the
02241.250, 2247.7900 USB for the alarm is connected to the
02244.580, 2250.3700 alarm battery which is like a huge brick
02247.790, 2252.8300 that can last a few days
02250.370, 2255.1700 yeah that's no issue and also being
02252.830, 2256.8000 worrying about battery life for 4 years
02255.170, 2260.9500 old I don't care anymore
02256.800, 2263.3300 [Laughter]
02260.950, 2264.5900 MQTT comes in flavors do you have to
02263.330, 2268.6100 worry about any of that or does it all
02264.590, 2271.7500 just kind of poof works it magically
02268.610, 2274.9400 works yeah I I don't think there's
02271.750, 2277.2500 versioning at least
02274.940, 2280.6100 so since I'm building everything
02277.250, 2282.1700 basically from the say saying source
02280.610, 2284.7500 code everything works
02282.170, 2286.9700 I know if I bring a binary from
02284.750, 2288.8000 somewhere else into my home automation
02286.970, 2291.7100 which doesn't seem like a the best idea
02288.800, 2292.2200 in the world probably won't work
02291.710, 2295.3690 I don't
02292.220, 2299.3590 how it manages versioning you make this
02295.369, 2305.2400 sound very easy it's surprisingly easy
02299.359, 2308.4200 yeah on Python you just create a client
02305.240, 2310.0700 and issue MQTT that subscribe to
02308.420, 2312.2600 subtopic and you start getting call
02310.070, 2314.6300 backs for that that's what you have to
02312.260, 2316.9100 do it's three lines it's funny as you
02314.630, 2318.8900 talk about the architecture of it with
02316.910, 2321.2000 the publish and subscribe and the broker
02318.890, 2324.8000 and it sounds very much like robot
02321.200, 2327.0800 operating system okay but going on going
02324.800, 2331.6700 on to the next subject of my long list
02327.080, 2332.8590 of things to ask a Gabrielle about where
02331.670, 2336.0200 are you based
02332.859, 2340.5800 I'm in Argentina in a city called Mar
02336.020, 2345.8900 del Plata 400 kilometres south of Buenos
02340.580, 2349.0400 Aires on the coast and I have met you in
02345.890, 2350.4800 person near San Francisco how many hours
02349.040, 2353.6600 did you have to travel to get San
02350.480, 2357.0500 Francisco so there's no direct flights
02353.660, 2360.0500 to San Francisco from Argentina
02357.050, 2363.5600 and there's no definitely no direct
02360.050, 2367.4600 flights from foreign to anywhere from my
02363.560, 2371.1190 city so I had to take a bus to what
02367.460, 2373.9400 Osiris and then you typically go to LA
02371.119, 2375.5600 if you're lucky and then from there to
02373.940, 2379.8800 SF or San Diego
02375.560, 2382.5800 so it's about 20 hours 22 hours if
02379.880, 2386.7500 you're lucky I see you don't commute
02382.580, 2391.1900 regularly no my communities from my bed
02386.750, 2392.6600 to my desktop how do you how do you
02391.190, 2396.8800 handle that I have is working remotely
02392.660, 2401.8100 for you and and how do you make it work
02396.880, 2404.5400 and not distraction though I mean it's a
02401.810, 2408.8900 nice deal it's not easy to get started
02404.540, 2413.5890 doing this it it it has all the
02408.890, 2416.9900 challenges of working at home focus of
02413.589, 2419.6300 doing the things - especially working in
02416.990, 2421.3100 Hardware pinyon Argentina the hair needs
02419.630, 2425.7200 to be shape in its go through customs
02421.310, 2427.4900 that's a whole ordeal and
02425.720, 2431.3300 and the companies that you work with
02427.490, 2434.6800 need to be remote oriented in a way they
02431.330, 2438.2200 to be prepared to have remote workers
02434.680, 2442.0100 cut the philosophy required to do that
02438.220, 2444.5900 but that's probably not different from
02442.010, 2447.5900 the work that you do there right being
02444.590, 2450.3490 about hundred kilometres or a thousand
02447.590, 2452.6600 or ten thousand is the same in terms of
02450.349, 2455.1190 human interaction the things that get
02452.660, 2457.5500 more complicated is when you jump across
02455.119, 2460.3100 countries and you're doing horrible
02457.550, 2461.8400 projects I started doing software
02460.310, 2465.9800 projects basically web development
02461.840, 2469.6700 initially because it's much easier to
02465.980, 2475.3300 work like that against the server on the
02469.670, 2478.0990 Amazon Cloud Data Brazil buddy Seattle
02475.330, 2480.5600 that if if you depend on hard work that
02478.099, 2484.7000 maybe breaks and you need to wait a week
02480.560, 2486.3400 or two to get a replacement work do you
02484.700, 2490.3690 have any advice for people who want to
02486.340, 2491.6900 work remotely in general and then do you
02490.369, 2493.4600 have any advice review who went to work
02491.690, 2498.8000 remotely internationally like you're
02493.460, 2500.6600 doing I think the the first thing if you
02498.800, 2504.1700 want to work for example from Argentina
02500.660, 2506.7200 for US companies it's just get started
02504.170, 2509.5700 just make an account on freelance or
02506.720, 2513.5890 Elance or oDesk or whatever it's called
02509.570, 2515.7800 now and just get cheeks doing PHP or
02513.589, 2520.1600 JavaScript work and it's going to pay
02515.780, 2524.4700 very loudly just do that for some time
02520.160, 2527.0000 to get used to working remotely the
02524.470, 2528.6500 you're not going to get the most amazing
02527.000, 2532.0990 jobs doing that but you're going to
02528.650, 2534.9700 create a resume and and work that you
02532.099, 2539.0890 can point to maybe more interesting
02534.970, 2541.6700 employers saying to them basically I'm
02539.089, 2545.4800 responsible I can manage my own time and
02541.670, 2547.9700 I can get things done and then after
02545.480, 2551.7200 that is the same as for any work you
02547.970, 2554.8390 need to establish relationships with
02551.720, 2558.1090 people and people need to know you know
02554.839, 2559.6090 what you can do and if you cannot get
02558.109, 2561.7990 into an area that you
02559.609, 2565.9690 then look for open-source projects that
02561.799, 2568.1300 you can contribute to as a way to prove
02565.969, 2569.5390 that you can get the work done there any
02568.130, 2571.8800 other pitfalls that you've come across
02569.539, 2573.8290 just in terms of mechanics of things
02571.880, 2575.9000 like shipping I know that sometimes
02573.829, 2578.2990 shipping Hardware can be a pain because
02575.900, 2582.4690 it gets either confiscated or stuck in
02578.299, 2584.1190 customs are there ways to to suggest to
02582.469, 2586.4590 the companies you work for to smooth
02584.119, 2588.5590 those things over or is that just kind
02586.459, 2593.6900 of constituting business yeah in
02588.559, 2597.7990 Argentina in particular FedEx is the can
02593.690, 2600.0790 we advertise companies yeah FedEx please
02597.799, 2603.8900 send us a check yeah exactly let's let
02600.079, 2605.9300 give us a couple of three shipments it's
02603.890, 2609.2000 the best way to send things they
02605.930, 2611.3290 typically take a week to get stuff here
02609.200, 2613.9000 and it usually doesn't get bothered by
02611.329, 2620.9000 customs if you stay within the courier
02613.900, 2624.2590 weight and price limits and then if you
02620.900, 2626.4490 go beyond that then you start getting
02624.259, 2629.9000 issues right but that's that's like a
02626.449, 2633.4990 logistics problem that it's it's not
02629.900, 2640.5190 really in your hands to to solve to do
02633.499, 2642.1990 anything about I say that the most
02640.519, 2645.5590 difficult thing working probably
02642.199, 2647.9300 probably for you is the same is getting
02645.559, 2650.3590 people to acknowledge you and keep you
02647.930, 2652.1600 in the loop on things that's the when
02650.359, 2654.2890 you're not physically present talking
02652.160, 2656.5990 face to face to people the relationship
02654.289, 2660.2590 changes especially when there's a time
02656.599, 2662.6900 zone change yeah so if you can visit in
02660.259, 2666.3800 person every now and then that smooth
02662.690, 2668.8290 things watched you and I found that
02666.380, 2674.6600 working remotely has helped with some
02668.829, 2677.5090 jobs my lab is pretty good compared to
02674.660, 2680.1190 many of the startups I work with my
02677.509, 2684.9790 office is extraordinarily quiet compared
02680.119, 2686.9200 to many of the offices I visit and when
02684.979, 2690.1990 I work remotely we get better at
02686.920, 2692.8390 documentation part of that's just cuz I
02690.199, 2693.2300 document things and I like to and I
02692.839, 2694.8800 liked
02693.230, 2696.5300 have them documented because I like to
02694.880, 2700.5200 forget things very quickly and the
02696.530, 2702.8300 documents help me but also the documents
02700.520, 2706.7000 help them whether they realize that or
02702.830, 2708.7400 not I realize it when somebody emails me
02706.700, 2710.3900 from a client I worked on two years ago
02708.740, 2711.8590 and says I thought this would be
02710.390, 2714.2600 impossible and then I Richard document
02711.859, 2717.5000 realized I only had to uncomment like
02714.260, 2719.5700 one line and it was all good and I mean
02717.500, 2723.5500 that sort of thing is awesome also you
02719.570, 2732.4700 cannot not if you're working on office
02723.550, 2734.7800 is not true yeah
02732.470, 2736.4600 so if you're not feeling well if you
02734.780, 2740.0300 feel like you're blocked by a problem
02736.460, 2744.0500 exists you're to just get up and take a
02740.030, 2745.9700 walk or whatever in your head and come
02744.050, 2749.3590 back concentrate on on the problem
02745.970, 2752.7200 really think it through the speciality
02749.359, 2756.5500 OpenOffice plants that have become
02752.720, 2760.1900 typically in the US are very distracting
02756.550, 2762.1090 it's at least for me personally mostly
02760.190, 2768.9100 because I'm not used to them it cuts by
02762.109, 2771.6500 productivity a lot I totally agree and
02768.910, 2775.6400 working as a consultant being able to
02771.650, 2778.9700 clock out and go for a walk it's just so
02775.640, 2780.8300 valuable yeah because it also benefits
02778.970, 2783.7700 the company because your brain really
02780.830, 2786.7100 doesn't stop processing the what you're
02783.770, 2789.8590 doing but you can really build for
02786.710, 2794.7800 taking a walk at least I don't may be
02789.859, 2797.3000 shocked but when you're doing that
02794.780, 2800.0600 you're really thinking the problem that
02797.300, 2803.2600 you're facing the background yes very
02800.060, 2805.6600 much yes yes going back to graphics
02803.260, 2807.9500 Chris you had another couple questions
02805.660, 2809.8100 there was one in the list here that I
02807.950, 2812.2400 thought I think we skipped over that was
02809.810, 2814.2800 kind of the crux of the difficulty of
02812.240, 2816.1400 graphics on embedded systems and that's
02814.280, 2819.9200 if you're doing something moderately
02816.140, 2823.4100 complicated the dance between updating
02819.920, 2827.5000 the frame buffer syncing
02823.410, 2829.0300 updating the screen I just like to talk
02827.500, 2830.8300 about that a little bit to give people a
02829.030, 2832.4200 sense for okay if you really want to do
02830.830, 2834.3100 something that maybe has animation
02832.420, 2836.0800 that's fluid and doesn't have tearing
02834.310, 2839.6800 heart effects how you go about
02836.080, 2841.3300 architecting your system first you have
02839.680, 2844.3000 to describe what tearing me Oh
02841.330, 2845.9500 tearing would be so if you if you're
02844.300, 2848.5600 updating your frame buffer out of sync
02845.950, 2851.5600 with how the display is perhaps reading
02848.560, 2853.1800 it out you might have half of your
02851.560, 2855.3400 screen updated in the frame buffer and
02853.180, 2856.5700 half old data and then the display might
02855.340, 2859.6300 read it out and put it on the display
02856.570, 2862.3600 and then you tap this half updated
02859.630, 2864.0700 screen which since oftentimes you're
02862.360, 2866.8300 moving something it would look like
02864.070, 2870.3700 you've got a big tear mark aligned
02866.830, 2873.0400 across the screen so how do you solve
02870.370, 2875.2900 that right it's a I don't know if we
02873.040, 2877.8100 can't reveal this grease but it's a an
02875.290, 2880.1800 ancient secret passed from generation to
02877.810, 2883.6900 generation of super engineers and it's
02880.180, 2885.1000 called double buffering yes sorry I I
02883.690, 2887.8900 gave it out I'm sorry
02885.100, 2892.5400 I'm going to return my trimmer engineer
02887.890, 2894.7600 patch so what you do typically is you
02892.540, 2896.7700 have instead of only one frame buffer if
02894.760, 2898.8700 you can afford it you have two three
02896.770, 2902.1400 buffers of the displayed resolution and
02898.870, 2904.4200 while you're building your frame with
02902.140, 2906.5800 the CPU or the GPU on one you are
02904.420, 2910.3000 displaying the another one on the screen
02906.580, 2912.3400 and to switch between the frame buffers
02910.300, 2915.7900 what you do is you wait for a signal
02912.340, 2919.0300 from the display which is most likely
02915.790, 2920.9800 the missing signal which indicates that
02919.030, 2924.0100 the display has started scanning the
02920.980, 2926.5300 frame buffer so once it started scanning
02924.010, 2928.8300 the frame buffer it will read from the
02926.530, 2932.9200 active frame buffer all the pixels and
02928.830, 2935.1400 the pixels that it has read it will no
02932.920, 2938.4700 longer be they will no longer be in use
02935.140, 2942.3700 so that's the moment where when you can
02938.470, 2945.6400 switch frame buffers and the active one
02942.370, 2947.3800 becomes the back in the back buffer and
02945.640, 2949.1200 you can start drawing your new frame
02947.380, 2951.4900 there when the display that's seeing
02949.120, 2955.3000 with the front buffer and so this is a
02951.490, 2959.8600 ping pong buffer system where
02955.300, 2962.5900 when ping is activated is in use by the
02959.860, 2965.5600 LCD you write to the pong buffer and
02962.590, 2967.6000 then you wait for the signal to say to
02965.560, 2968.9800 swap and then the pong buffer is being
02967.600, 2972.1300 used by the LCD and you write to the
02968.980, 2974.4900 ping buffer yes and if you've got to
02972.130, 2977.2300 just play with an embedded frame buffer
02974.490, 2979.0000 usually they only have enough on there
02977.230, 2980.5000 for one frame right they don't have
02979.000, 2983.4600 double buffering so you might have to
02980.500, 2985.9000 add at least another buffer in your RAM
02983.460, 2987.8200 well how does that work sometimes you
02985.900, 2990.6400 can use you you can't always read out
02987.820, 2992.9200 the LCDs frame buffer that's usually
02990.640, 2994.8400 kind of exciting too
02992.920, 2997.5100 and so you have to keep a shadow of what
02994.840, 3000.2100 they write right it's usually very slow
02997.510, 3003.7500 to read the frame buffer in the display
03000.210, 3005.9700 itself so when the reason comes you send
03003.750, 3009.3300 the active frame buffer in a one-way
03005.970, 3010.7100 mode and start working with the
03009.330, 3013.9200 information that you had on that frame
03010.710, 3016.8300 buffer then there are tricks if your
03013.920, 3020.2200 performance is not enough hour you don't
03016.830, 3022.6500 have enough memory space for two frame
03020.220, 3024.8400 buffers you do like partial updates of
03022.650, 3028.1700 different buffers so you try to minimize
03024.840, 3031.9200 the amount of pixels that you change and
03028.170, 3034.6500 then maybe you can get it fast enough to
03031.920, 3036.6900 draw the frame rate that you want to
03034.650, 3039.7500 draw out maybe not 60 Hertz but maybe
03036.690, 3042.5700 thirty and without seeing the
03039.750, 3044.9700 disturbances of the screen do you have
03042.570, 3051.5400 any test methodologies when I had to do
03044.970, 3054.5100 LCD graphics system I found later that I
03051.540, 3058.3500 wished I had better unit tests to start
03054.510, 3061.5600 with involving lines and squares and do
03058.350, 3063.4500 you have a good way to figure out if you
03061.560, 3066.6500 have written your graphic system
03063.450, 3071.1300 correctly it's very hard to test I I
03066.650, 3075.5300 wish I had a solution for that usually
03071.130, 3079.9100 graphics have some form of user input
03075.530, 3085.1400 involvement so yeah there are dinner
03079.910, 3088.4400 thankfully import ways of testing things
03085.140, 3089.4000 but and I I couldn't of volunteer a
03088.440, 3091.4990 solution
03089.400, 3094.4890 now usually you accumulate a series of
03091.499, 3097.1690 visual tests and you can run through it
03094.489, 3099.8690 it's basically recordings of all of the
03097.169, 3101.8800 errors that you have had to deal with I
03099.869, 3104.4590 mean you start out with this is what I
03101.880, 3105.8390 think you know this test this
03104.459, 3108.4790 functionality and it looks good
03105.839, 3112.1690 but you forget some corner case or
03108.479, 3114.1500 usually it's an actual corner exactly so
03112.169, 3115.7390 you had update the test and so you end
03114.150, 3119.1600 up with a suite of things that you can
03115.739, 3121.6790 do but like Gabrielle said it's very
03119.160, 3124.1400 hard to automate that because it's a
03121.679, 3126.1190 visual thing so I mean you can kind of
03124.140, 3129.4790 take screenshots and compare them
03126.119, 3131.9990 against known good results but that's
03129.479, 3135.7190 all very painful yeah it's a tough
03131.999, 3139.4590 problem I remember writing the word red
03135.719, 3142.1400 and green and blue in each color and
03139.459, 3144.8090 then realizing I hadn't written them in
03142.140, 3148.6690 the correct colors because I wasn't sure
03144.809, 3151.7390 which was orangey and B on my display
03148.669, 3155.5190 but that's a classic problem mixing up
03151.739, 3157.2590 the components orders yeah yeah when you
03155.519, 3158.6400 have black and white which a lot of
03157.259, 3160.4090 times you start out with black and white
03158.640, 3163.4990 it doesn't matter but then when you
03160.409, 3165.7190 start doing animations for your team
03163.499, 3167.8800 suddenly it's important that red is red
03165.719, 3170.1590 and not green well here's a question for
03167.880, 3172.8290 you that the folks on the Select might
03170.159, 3174.8090 have asked but they didn't there's a lot
03172.829, 3177.4790 of different display technologies out
03174.809, 3179.4000 right now and if your decide if you're
03177.479, 3182.8190 building a hobby project or starting
03179.400, 3185.0090 some small product it might not be clear
03182.819, 3189.9290 what the best thing to choose is there's
03185.009, 3193.7390 there's OLED there's LCD there's other
03189.929, 3196.1400 things matrix lights are actually pretty
03193.739, 3200.4790 popular right now Inc and there's
03196.140, 3200.4790 there's drawbacks to all of these right
03201.079, 3207.2990 to list the tropics yeah yeah the
03204.419, 3210.2990 drawbacks of OLED because that may be
03207.299, 3213.6790 important to me soon oh that's a yeah
03210.299, 3215.2190 that's a pet peeve of mine so let's type
03213.679, 3218.1300 in time
03215.219, 3221.0690 they're like little gnomes that emit
03218.130, 3222.9800 light and they get older and older each
03221.069, 3226.2300 time you make them make
03222.980, 3227.8190 photos and the more you make them emit
03226.230, 3232.2900 photons the more they die the more
03227.819, 3234.3290 quickly they die so yeah that's a fun
03232.290, 3236.4900 fact that I wasn't aware of when I
03234.329, 3238.1700 started working with all it this place
03236.490, 3241.2300 and people I could choose them because
03238.170, 3243.4100 they're super bright and and you know
03241.230, 3246.3000 the monochrome ones look really really
03243.410, 3250.0690 engaging but really we're just killing
03246.300, 3254.2800 little-known murdering yes that's
03250.069, 3258.1500 scientifically proven - yeah in a
03254.280, 3263.9400 microscope just enable kamikaze mode and
03258.150, 3265.3490 you'll see they're very bright but the
03263.940, 3267.7800 nice thing about all that is you don't
03265.349, 3269.4000 draw a power your power draw is
03267.780, 3272.1300 proportional to how many pixels you're
03269.400, 3275.8690 actually lighting right yeah so each
03272.130, 3280.5000 each so each pixel is like an individual
03275.869, 3281.7900 light instead of being the LCD system
03280.500, 3284.8800 where you have a backlight and you're
03281.790, 3289.6190 basically filtering the backlight to
03284.880, 3291.3590 produce colors so the contrast is the
03289.619, 3293.4900 contrast appearance is much nicer
03291.359, 3296.4900 because the black is really black this
03293.490, 3300.4500 there's no light coming what the black
03296.490, 3305.1800 pixels and then color I've heard the
03300.450, 3310.2800 gnomes die at different rates yeah blue
03305.180, 3313.7400 dice especially fast not sure why
03310.280, 3317.4300 they're probably much larger because we
03313.740, 3320.9700 perceive blue with lower intensity so to
03317.430, 3323.7300 produce the same perceived blue-green
03320.970, 3327.5100 for example brightness the the blue one
03323.730, 3329.2200 needs to make much more effort my story
03327.510, 3330.5100 is that we haven't had blue LEDs for
03329.220, 3334.6090 that long so we're just not really good
03330.510, 3337.8000 at making them yeah that's true
03334.609, 3340.8800 or maybe the other pixels don't like
03337.800, 3345.6600 blue yeah those no hate theater no yeah
03340.880, 3349.4100 so yeah so so they give you these curves
03345.660, 3352.3190 and they say if your Sultanate's
03349.410, 3354.9300 this display can live for 100 hours and
03352.319, 3358.2000 then what you get is a
03354.930, 3361.2000 a pixel that doesn't isn't able to
03358.200, 3363.2000 emitter at its fullest and depending on
03361.200, 3367.1400 what you're showing screen you can get
03363.200, 3369.1800 burning a burning effect which is an
03367.140, 3371.2800 image that seems to be constantly there
03369.180, 3376.2300 and that's produced by the lack of the
03371.280, 3378.0890 pixels to do a bit light at the same
03376.230, 3380.8390 level that the neighboring pixels can
03378.089, 3385.4100 with it I mean that that wouldn't that
03380.839, 3390.7500 sounds fine not not really not at all
03385.410, 3392.6700 fine okay so so OLED is see if you
03390.750, 3394.8590 manage if you manage to get all the
03392.670, 3397.4700 knobs to die at the same rate that makes
03394.859, 3398.3690 fine because you won't notice it for for
03397.470, 3401.4900 very long time
03398.369, 3404.4900 the problem is when they start dying at
03401.490, 3410.4500 different rates for me a pattern then
03404.490, 3412.9700 you really notice them okay so LEDs
03410.450, 3417.0890 might be an option but those are very
03412.970, 3418.2300 power inefficient so I guess LCDs those
03417.089, 3423.1500 are fine they've been around for a long
03418.230, 3427.3190 time they must work right yeah ago the
03423.150, 3431.7900 problem is if you if you want to make a
03427.319, 3434.5490 really nice-looking device with no
03431.790, 3437.2200 borders around it it's very hard to do
03434.549, 3440.6090 with LCD because they require a plodding
03437.220, 3443.8190 area somewhere so you get that if you
03440.609, 3445.9500 look at wearable devices with LCDs you'd
03443.819, 3449.2800 see that some where they may be
03445.950, 3451.7100 advertised a ride over on a region
03449.280, 3454.2000 because they cannot avoid having that
03451.710, 3458.4600 section then it has the backlight issue
03454.200, 3461.0400 you have to there's all very few LCDs
03458.460, 3463.3490 that you can see that they have trans
03461.040, 3465.7500 reflective one switch light coming into
03463.349, 3467.6700 it is reflected off a substrate on the
03465.750, 3469.6800 back and then and then you can see it
03467.670, 3472.2600 daylight but usually you have to have
03469.680, 3475.0200 some sort of light emitting thing on the
03472.260, 3477.4800 back and that's usually some white LEDs
03475.020, 3480.7500 or some phosphorescent thing fluorescent
03477.480, 3485.6900 thing which draws a lot of power so I
03480.750, 3488.3390 should use ink you should use beeps
03485.690, 3489.7800 Morse code I do feel like we're gonna
03488.339, 3494.1300 get down to like you just shouldn't have
03489.780, 3496.4700 it display at all you can avoid it it's
03494.130, 3502.9800 a big part of the power budget if you
03496.470, 3504.6900 want the display just watch the TV all
03502.980, 3506.1300 right do we have more graphics questions
03504.690, 3507.2700 that was the main one I wanted to go
03506.130, 3509.9700 back to I don't think we missed an
03507.270, 3513.3290 analyst well I mean the list is just
03509.970, 3517.0490 there because I have to do something for
03513.329, 3518.8090 the show other than talk yeah well I
03517.049, 3525.3190 have lots of questions for Gabriel but
03518.809, 3528.6600 he's not going to answer them I think
03525.319, 3531.3900 I've already gone over the line with a
03528.660, 3535.1400 double buffer and the nobs thing I don't
